,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Srm,4,4,1,0,1,1,0,1
LOC502618,0,0,1,0,0,0,0,1
Ggta1p,241,108,115,59,115,79,91,51
Dab2ip,815,473,377,255,394,191,277,338
Ndufa8,7142,3938,4141,2302,4940,2811,4695,3699
Morn5,106,78,54,42,95,32,88,82
Lhx6,9,14,17,11,17,18,8,7
Rbm18,5191,3383,2965,1530,3499,1871,3115,2327
Mrrf,1312,739,767,364,858,461,704,575
Ptgs1,404,132,138,124,114,126,185,83
Olr395,0,0,0,0,0,0,0,0
Olr396,0,0,0,0,0,0,0,0
Olr397,0,0,0,0,0,0,0,0
Olr398,0,0,0,0,0,0,0,0
Olr399,0,0,0,0,0,0,0,0
Olr400,0,0,0,0,0,0,0,0
Olr401,0,0,0,0,0,0,0,0
Olr402,0,0,0,0,0,0,0,0
Olr403,0,0,0,0,0,0,0,0
Olr404,0,0,0,0,0,0,0,0
Olr406,0,0,0,0,0,0,0,0
Olr407,0,0,0,0,0,0,0,0
Olr408,0,0,0,0,0,0,0,0
Olr409,0,0,0,0,0,0,0,0
Olr410,0,0,0,0,0,0,0,0
Olr411,0,0,0,0,0,0,0,0
Olr413,0,0,0,0,0,0,0,0
Olr414,0,0,0,0,0,0,0,0
Olr415,0,0,0,0,0,0,0,0
Olr416,0,0,0,0,0,0,0,0
Olr417,0,0,0,0,0,0,0,0
Olr418,0,0,0,0,0,0,0,0
Olr419,0,0,0,0,1,0,0,0
Olr420,0,0,0,0,0,0,0,0
Olr421,0,0,0,0,0,0,0,0
Olr422,0,0,0,0,0,0,0,0
Olr423,0,0,1,0,0,0,0,1
Olr424,0,0,0,0,0,0,0,0
Olr425,0,0,0,0,0,0,0,0
Olr427,0,0,0,0,0,0,0,0
Olr428,0,0,0,0,0,0,0,0
Olr429,0,0,0,0,0,0,0,0
Olr434,0,0,0,0,0,0,0,0
Pdcl,811,552,500,299,603,317,605,403
Rc3h2,295,236,207,94,219,151,245,152
Zbtb6,379,232,194,93,280,142,244,201
Zbtb26,54,20,23,8,33,10,32,20
Rabgap1,2702,1645,1368,768,1903,870,1614,1234
Gpr21,48,25,26,13,30,14,39,23
Strbp,412,283,234,132,237,147,315,200
Crb2,3,5,4,2,0,0,2,2
Dennd1a,252,171,134,99,162,70,102,124
Lhx2,4,8,9,2,6,6,7,4
Nek6,167,73,54,60,80,53,79,65
Psmb7,3562,2350,2075,1174,2404,1345,2702,1916
Nr5a1,0,2,0,0,0,0,0,0
Mir181a-2,0,1,0,0,0,1,0,0
Mir181b-2,1,0,1,0,1,0,0,0
