,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Vom2r10,0,0,0,0,0,0,0,0
Vom1r2,0,0,0,0,0,0,0,0
Vom1r3,0,0,0,0,0,0,0,0
Vom1r4,0,0,0,0,0,0,0,0
Vom2r11,0,0,0,0,0,0,0,0
Vom1r5,0,0,0,0,0,0,0,0
RGD1563982,94,43,55,34,88,39,61,46
Fbxo17,43,19,17,26,18,12,32,28
Mrps12,985,550,600,358,671,311,680,516
Sars2,386,191,184,123,229,97,167,168
Nfkbib,1308,707,607,410,776,409,451,551
Sirt2,7643,4143,3521,2074,4587,2146,3224,3324
Rinl,20,5,1,5,3,4,2,2
Hnrnpl,784,372,373,257,468,283,448,288
Ech1,31982,15277,19674,9003,21084,12669,18892,16686
Lgals4,0,0,0,0,0,0,0,0
Lgals7,1,1,1,1,3,2,3,3
Capn12,25,11,13,7,16,15,15,10
Actn4,1026,663,452,422,663,311,487,456
Kcnk6,0,0,0,0,0,0,0,0
Yif1b,1122,560,562,387,635,273,541,516
Spint2,303,152,135,128,97,134,238,94
Ppp1r14a,50,23,18,17,29,17,24,18
Dpf1,61,23,23,22,20,21,25,7
Sipa1l3,77,30,18,17,25,6,36,20
Ube2n,2634,1719,1570,944,1831,1093,2105,1213
Zfp84,980,691,616,349,805,426,672,464
Zfp74,0,0,0,0,0,0,0,0
Eif3k,484,278,319,157,304,167,360,238
Map4k1,90,27,13,13,39,16,26,35
Rasgrp4,32,26,18,6,24,7,15,16
Fam98c,118,25,30,27,54,17,29,36
Spred3,4,2,0,1,0,0,0,2
Ggn,1,2,2,1,0,0,1,0
Psmd8,3342,1895,1642,907,2024,965,1842,1383
Catsperg1,32,20,12,9,12,8,12,5
Zfp14,0,0,0,0,0,0,0,0
Zfp566,41,33,27,10,18,10,26,20
Zfp260,0,0,0,0,0,0,0,0
Zfp382,62,28,36,21,34,24,22,25
Capns1,542,334,267,191,337,157,338,261
Tbcb,0,0,1,0,0,0,0,0
Polr2i,0,0,0,0,0,0,0,0
Wdr62,17,13,9,6,13,6,3,12
Clip3,0,0,0,0,0,0,0,0
Alkbh6,2,0,0,0,0,0,0,0
Syne4,0,0,0,0,0,0,0,0
RGD1562079,0,0,0,0,0,0,0,0
Lrfn3,16,10,7,6,10,2,6,7
Tyrobp,200,73,45,23,70,58,72,86
Hcst,26,4,3,0,1,8,5,2
Aplp1,55,20,13,13,21,9,21,15
Kirrel2,9,1,0,3,0,0,2,0
Nphs1,15,1,0,0,0,0,2,0
Prodh2,5,4,4,2,3,4,2,5
RGD1565712,409,409,252,177,325,164,254,187
Hspb6,78331,56610,42591,34334,54126,37054,47572,33821
Lin37,334,159,186,105,192,110,187,110
Psenen,1966,1162,1140,573,1242,676,1555,1039
U2af1l4,782,514,533,257,597,241,551,443
Igflr1,12,10,7,2,6,2,3,10
Mir3569,0,0,0,0,0,0,0,0
Zbtb32,17,0,0,1,3,0,1,1
Upk1a,2,4,3,18,6,0,9,1
LOC688869,3636,1914,2034,1191,2527,1285,2495,1755
Rbm42,531,286,224,198,347,122,190,223
LOC688924,0,0,0,0,0,0,0,0
Atp4a,0,0,0,1,0,0,0,0
Tmem147,1794,1200,1032,572,1074,652,1195,1002
Gapdhs,36,9,15,9,10,8,6,13
Sbsn,18,38,13,9,6,8,18,6
Dmkn,2,0,2,4,0,1,2,0
Ffar2,0,0,0,0,0,1,0,1
Ffar3,0,0,0,1,0,0,0,0
Ffar1,0,0,0,0,0,0,0,0
Cd22,60,10,10,5,10,6,6,9
Mag,0,1,0,1,3,0,0,0
Hamp,0,0,0,0,0,0,0,0
Usf2,496,286,253,167,300,128,245,206
Lsr,127,84,59,80,38,54,102,49
Fxyd5,286,169,102,61,130,120,159,92
Fxyd7,38,22,11,21,25,9,24,5
Fxyd1,6309,3991,3382,2251,4291,2125,4355,2939
Lgi4,40,25,20,13,26,17,17,11
Fxyd3,54,20,26,32,10,36,41,20
Hpn,84,68,33,35,53,21,32,71
Scn1b,5068,2500,2218,1422,2723,1126,2263,2021
Gramd1a,1207,639,550,401,736,280,449,496
LOC689199,0,0,0,0,0,0,0,0
LOC292801,0,0,0,0,0,0,0,0
Scgb1b30,0,0,0,0,0,0,0,0
Uba2,764,494,401,225,562,270,402,343
Pdcd2l,205,131,116,79,163,69,134,117
Gpi,16596,11887,9321,4866,9808,4828,10920,8590
RGD1308428,1436,1120,813,458,1223,561,843,713
Lsm14a,1676,1029,847,423,1061,610,1069,755
Kctd15,106,42,33,28,43,27,49,48
Chst8,0,1,0,0,0,0,0,0
Pepd,3371,1922,1476,696,1635,945,1589,1430
Pdcd5,0,0,0,0,0,0,0,0
Cebpg,532,137,129,87,295,86,152,174
Cebpa,5,0,0,0,1,0,1,4
Slc7a10,6,10,0,1,0,14,5,3
Lrp3,10,1,3,5,6,0,2,2
Gpatch1,633,450,392,259,465,251,439,301
Rhpn2,78,36,32,35,23,41,46,21
RGD1564719,84,38,40,29,42,41,55,38
Cep89,386,205,175,121,206,113,182,167
Slc7a9,25,13,10,20,19,13,37,4
Nudt19,747,377,299,187,384,267,385,284
Rgs9bp,0,0,1,0,0,0,0,0
Ankrd27,196,106,89,66,145,49,83,69
Dpy19l3,95,46,44,28,34,30,51,31
Zfp507,88,70,58,31,72,26,56,42
Tshz3,156,91,63,47,129,64,95,57
Uri1,887,499,457,198,518,329,602,378
Ccne1,6,0,3,2,6,3,1,1
Plekhf1,1279,391,707,350,504,242,463,389
Pop4,815,518,522,282,543,329,635,433
LOC365238,4,1,3,0,0,1,3,2
Vstm2b,3,0,1,2,0,1,4,0
MGC114499,0,0,0,0,0,0,0,0
LOC499136,1,0,0,0,0,0,0,0
Etfb,11421,6406,7052,3705,7825,4188,7156,5930
Cldnd2,0,0,0,0,0,0,0,0
Nkg7,65,4,8,3,17,5,9,15
Lim2,10,9,11,3,3,6,3,2
Siglec10,68,19,4,3,7,4,14,1
Siglec5,138,55,42,21,71,49,33,45
Vom2r38,0,0,0,0,0,0,0,0
Vom2r37,0,0,1,0,0,0,0,0
Klk1c12,0,0,0,0,0,0,0,0
Klk1c10,0,0,0,0,0,0,0,0
Klk1c8,0,0,0,0,0,0,0,0
Zfp819,10,4,1,2,1,1,3,4
Ctu1,119,43,50,28,46,36,29,32
Klk13,0,0,0,0,0,0,0,0
Klk12,0,0,0,0,0,0,0,0
Klk11,0,0,0,0,1,0,0,0
Klk10,0,0,0,0,0,0,0,1
Klk9,0,0,0,0,0,0,0,0
Klk8,0,0,0,0,0,0,0,0
Klk7,0,0,0,0,0,0,0,0
Klk6,0,0,0,0,0,0,0,0
Klk4,0,0,0,0,0,0,0,0
Klk1c6,0,0,1,0,0,0,0,0
Klk1c2,0,0,0,0,0,0,0,0
Klk1c9,0,0,3,0,0,0,0,0
Klk1c7,1,2,1,0,1,2,1,3
Klk1c3,0,0,0,0,0,0,1,0
Klk1,2,0,0,3,1,0,6,2
Fv1,165,97,94,68,97,54,96,57
Acpt,2,0,0,0,0,1,0,0
Clec11a,159,116,71,85,70,67,83,85
Shank1,2,0,2,0,2,2,0,0
RGD1309036,0,0,0,0,1,0,1,0
Syt3,88,40,36,9,37,22,20,39
Lrrc4b,2,0,1,0,0,0,0,1
Aspdh,0,0,0,0,0,0,0,0
Josd2,742,437,334,241,416,160,307,329
Emc10,927,506,471,333,617,298,498,408
Mybpc2,54562,44178,23519,11162,20463,10276,25436,27186
Spib,149,5,3,2,1,0,1,8
Pold1,97,52,54,31,67,23,40,40
Nr1h2,2372,1514,1149,679,1376,516,761,938
Napsa,133,30,20,6,30,21,22,27
Kcnc3,1,0,0,0,1,0,0,0
Myh14,659,362,259,179,330,98,192,290
Vrk3,1547,902,750,465,976,437,813,387
Atf5,332,189,138,88,253,108,174,106
Nup62,1024,597,461,348,560,291,544,382
Tbc1d17,931,624,548,291,597,252,349,455
Akt1s1,1489,793,717,455,882,394,697,708
Pnkp,148,98,60,47,75,30,81,63
Ptov1,717,458,425,245,473,252,544,390
Med25,250,93,93,71,147,48,78,85
Fuz,319,187,150,106,170,65,131,174
Ap2a1,836,367,308,208,382,129,153,274
Tsks,1,3,1,0,0,2,2,2
Cpt1c,277,202,157,87,226,124,168,162
Prmt1,2308,1348,1466,867,1739,922,1386,1105
Bcl2l12,217,125,110,65,101,65,87,110
Irf3,390,187,169,94,167,75,146,122
Scaf1,272,151,154,93,191,65,131,108
Rras,190,80,79,47,141,66,108,64
Prrg2,36,20,8,12,26,9,15,9
Nosip,1137,674,666,375,674,361,754,567
Rcn3,384,200,178,154,175,135,206,159
Fcgrt,1538,968,893,558,905,523,973,705
Mir150,0,0,1,0,0,0,0,0
Rps11,2898,1788,1634,927,1913,1122,2189,1494
Rpl13a,1900,1055,945,599,1034,729,1349,911
Aldh16a1,169,88,65,50,75,41,53,69
Pih1d1,392,277,228,117,290,127,258,210
Slc17a7,0,0,0,0,0,0,0,0
Pth2,0,0,0,0,0,0,0,0
Dkkl1,1,0,0,2,0,0,0,0
Tead2,18,15,15,6,13,4,7,10
Cd37,153,30,19,20,50,38,36,46
RGD1562492,0,0,0,0,0,0,0,0
Trpm4,269,97,146,84,166,49,100,100
Hrc,20375,13831,13680,6573,13666,7328,14238,10584
Ppfia3,23,9,12,3,12,3,6,14
Lin7b,1,0,1,2,2,1,0,0
Snrnp70,413,236,189,153,227,97,132,172
Kcna7,603,342,314,162,381,169,263,236
Ntf4,5,7,8,1,6,1,6,4
Lhb,2,5,1,3,2,1,1,1
Ruvbl2,780,502,423,276,455,216,415,381
Gys1,7993,4862,3944,2510,5293,2279,3871,3625
Ftl,2810,1653,1310,986,1476,1055,1819,1350
Bax,325,160,166,98,172,87,172,151
Tulp2,22,5,13,4,4,5,13,7
Nucb1,2418,1367,1201,784,1389,712,1085,972
Ppp1r15a,1295,1162,556,413,748,337,536,470
Plekha4,32,34,24,20,19,8,19,15
Hsd17b14,15,8,4,5,6,1,1,4
Bcat2,2271,1548,1402,818,1419,667,1356,1377
Fgf21,3,1,1,1,0,2,1,1
Fut1,4,0,0,2,0,1,2,3
Izumo1,55,37,37,9,40,23,31,23
Rasip1,217,116,117,55,138,66,86,74
Fut2,28,9,20,6,11,5,7,11
Sec1,3,5,3,3,4,2,5,4
Ntn5,2,1,0,0,5,0,1,0
Car11,272,128,125,66,181,86,139,100
Dbp,329,152,283,151,575,230,211,175
Sphk2,908,454,471,351,427,200,414,324
Rpl18,1523,924,824,509,938,518,1022,723
Spaca4,0,0,0,0,0,0,0,0
Sult2b1,1,1,1,0,0,0,0,1
Cyth2,591,182,268,177,377,106,239,241
Kcnj14,23,7,8,10,6,1,4,5
Grwd1,544,361,263,170,315,123,297,247
Grin2d,3,0,1,1,1,0,0,1
Kdelr1,2421,1589,1321,803,1607,868,1358,1134
Syngr4,19,12,10,4,14,5,6,11
Tmem143,721,458,341,241,457,203,347,388
Emp3,440,208,181,153,244,162,277,154
Ccdc114,5,3,3,1,2,0,4,1
Abcc6,1,0,2,0,2,1,0,0
Nomo1,2343,1468,1267,644,1327,638,1532,1050
Kcnj11,1869,1163,799,447,947,365,716,733
Abcc8,140,119,75,28,70,27,83,47
Ush1c,1,7,2,2,0,2,5,3
Otog,1,0,0,0,0,0,0,0
Myod1,671,422,254,204,279,103,196,355
Kcnc1,12,6,9,3,17,2,6,4
Tph1,97,70,42,23,34,17,38,36
Saa4,1,0,2,2,0,2,3,3
Hps5,346,195,174,102,197,100,182,134
Gtf2h1,1402,891,819,428,932,488,831,591
Ldha,34731,26430,20662,10419,20183,10513,22826,18666
Ldhc,5,5,2,2,1,2,0,4
Tsg101,3742,2558,2306,1343,2574,1475,2710,1843
Vom1r70,0,0,0,0,0,0,0,0
Tmem86a,81,46,50,15,91,42,34,48
Ptpn5,3,0,0,0,0,0,0,0
Mrgprx3,1,0,0,0,0,1,0,2
Mrgprc,0,0,0,0,0,0,0,0
Mrgprx1,0,0,0,0,0,0,0,0
Mrgprb4,0,0,0,0,0,0,0,0
Mrgprb5,0,0,0,0,0,0,0,0
Mrgprb13,0,0,0,0,0,0,0,0
Mrgprx2,9,6,5,1,5,2,2,3
Mrgprx2l,0,0,0,0,0,0,0,0
Zdhhc13,303,195,213,141,209,100,206,161
Csrp3,348,953,97,454,794,246,180,96
Nav2,410,241,250,158,347,159,350,300
Dbx1,0,0,0,0,1,0,0,0
Htatip2,184,131,67,55,109,80,115,73
Prmt3,1255,497,449,312,746,339,522,587
Slc6a5,0,0,0,0,0,0,0,0
Nell1,4,6,4,1,4,4,2,2
LOC100125384,0,0,0,0,0,0,0,0
Slc17a6,0,0,1,0,0,0,0,0
Gas2,57,29,61,16,45,25,29,29
Svip,885,666,484,200,608,259,461,433
RGD1559980,1,0,0,0,0,0,0,0
Gabrg3,0,0,0,0,0,0,0,0
Gabra5,0,0,0,0,0,0,0,0
Gabrb3,4,2,0,0,1,1,1,0
Tubgcp5,1504,927,860,437,948,446,941,664
Cyfip1,2844,1838,1480,779,1804,942,1657,1277
Nipa2,1788,663,836,485,1111,493,1003,804
Nipa1,65,47,51,19,54,37,73,52
Herc2,1833,1206,866,493,1115,544,958,889
Oca2,2,1,1,0,8,1,2,2
Atp10a,88,88,55,34,100,35,80,55
Bex1,359,277,171,151,306,155,189,144
Ube3a,4845,2391,2631,1461,3484,1681,3212,2357
Mir344b-1,0,0,0,0,0,0,0,0
Mir344a-2,0,0,0,0,0,0,0,0
Mir344-1,0,0,0,0,0,0,0,0
Ndn,56,45,49,32,61,49,67,45
Peg12,4,0,3,5,7,8,1,4
Chrna7,0,0,0,0,0,0,0,0
Nsbp1,1,0,0,0,1,0,3,1
Hmgn5,1,0,0,0,0,0,0,0
Klf13,58,21,14,15,19,8,24,13
Trpm1,32,16,12,12,22,11,24,33
Mir211,0,0,0,0,0,0,0,0
Mtmr10,764,502,387,189,540,235,448,461
Fan1,223,88,88,57,118,50,85,75
Mphosph10,1116,599,577,315,709,391,713,438
Mcee,1936,1060,1094,557,1356,719,1415,893
Apba2,12,2,6,3,6,1,14,6
Ndnl2,537,318,261,184,325,187,360,275
Tjp1,1555,941,850,443,1076,617,1062,611
Tarsl2,409,264,212,123,297,127,180,179
Tm2d3,264,164,158,82,162,106,168,127
Pcsk6,619,316,272,173,278,167,334,204
Snrpa1,751,431,368,221,445,233,520,341
Vimp,1973,1213,1083,596,1166,664,1174,908
Chsy1,137,93,58,41,101,47,88,58
Lrrk1,157,85,44,39,78,32,37,48
Aldh1a3,201,98,59,38,32,60,60,41
Asb7,103,38,38,32,69,29,41,44
Cers3,0,0,0,0,0,1,0,2
Mef2a,4783,1993,2457,1369,3172,1191,2486,2250
Lrrc28,903,660,504,286,600,293,534,499
Ttc23,313,203,169,98,196,102,201,133
Synm,12434,9506,6267,3185,7497,3070,6389,5874
Igf1r,258,187,136,80,173,77,144,78
LOC682259,0,0,0,0,0,0,0,0
Arrdc4,48,36,24,21,40,25,50,22
Nr2f2,161,80,75,49,114,56,77,69
Mctp2,39,14,6,8,10,4,7,11
Rgma,909,442,519,317,773,256,469,477
Chd2,2267,1657,1214,706,1505,834,1488,1131
St8sia2,8,0,1,3,5,0,2,0
Slco3a1,614,298,305,168,299,155,350,184
Sv2b,42,40,43,24,42,16,64,32
Akap13,5718,3536,2993,1705,3599,2004,3374,2782
Klhl25,48,32,18,19,25,9,13,21
Ntrk3,23,8,11,10,17,8,12,4
Mrpl46,1784,1031,976,628,1255,654,1185,829
Mrps11,852,489,534,272,558,308,534,442
Det1,400,306,180,98,224,126,240,206
Mir7a-2,0,0,0,0,0,0,0,0
Aen,130,63,57,55,63,40,46,43
Isg20,37,20,18,14,14,20,29,17
Acan,0,1,0,0,0,0,2,0
Hapln3,14,1,3,3,3,6,2,4
Mfge8,7282,4584,3495,2453,4490,1995,3300,2905
Abhd2,55,39,24,26,37,21,26,19
Rlbp1,0,0,0,0,3,0,0,0
Polg,284,187,141,92,189,87,133,120
Mir3597-3,0,0,0,0,0,0,0,0
Mir9-3,0,0,0,0,0,0,0,0
Rhcg,9,5,2,2,14,5,0,1
Plin1,72,30,21,9,20,38,20,30
Pex11a,352,207,183,89,203,121,87,155
Wdr93,5,5,2,6,18,3,3,8
Mesp1,1,0,0,0,0,1,0,0
Mesp2,0,0,0,1,0,0,0,0
Anpep,279,153,157,100,165,149,137,122
Ap3s2,1326,884,713,467,892,451,889,615
RGD1311021,126,95,75,39,107,49,103,76
Echs1,2,5,2,1,1,1,2,0
Zfp710,279,159,172,140,199,103,156,119
Idh2,98320,64999,59324,36722,77819,40734,65040,55667
Sema4b,80,27,22,24,30,12,27,19
Cib1,451,209,172,167,242,147,214,172
Ttll13,42,24,24,16,26,12,19,14
Ngrn,1702,910,974,493,1170,604,998,706
Vps33b,262,157,138,90,157,103,163,99
Prc1,78,35,33,24,38,22,21,37
Unc45a,410,190,132,96,151,80,95,120
Hddc3,1204,627,575,277,714,364,700,577
Man2a2,586,376,321,186,378,157,261,276
Fes,131,74,58,35,88,31,50,49
Furin,316,148,132,90,170,79,172,112
Iqgap1,1056,682,477,309,662,390,540,468
Wdr73,107,52,49,28,55,33,62,31
Nmb,2,1,1,2,2,0,2,2
Sec11a,1153,695,623,428,714,483,907,576
Zfp592,475,289,211,128,317,122,234,196
Alpk3,2824,1874,1280,727,1816,629,931,1024
Slc28a1,17,18,5,2,16,6,4,9
Pde8a,132,75,65,39,73,63,98,47
Rps17,889,596,519,310,590,409,771,492
Cpeb1,22,22,8,5,9,6,3,5
LOC100360933,0,0,0,0,0,0,0,0
Fsd2,5442,3430,2984,1896,3526,1717,2973,2632
Whamm,211,79,113,57,106,65,94,65
Homer2,478,279,217,156,299,145,245,196
Fam103a1,400,277,269,166,296,192,369,221
RGD1305713,148,112,93,61,120,63,89,74
Btbd1,7283,3880,4118,2196,5306,2981,4892,3569
Tm6sf1,765,381,453,246,702,382,476,384
Hdgfrp3,157,77,83,51,97,97,86,97
Bnc1,13,6,4,6,1,7,2,1
Sh3gl3,4,1,2,3,0,1,0,3
Adamtsl3,146,96,63,61,150,88,73,81
Fam154b,9,2,6,1,5,1,6,3
Eftud1,499,296,266,157,357,203,246,233
Mex3b,18,12,13,2,11,12,11,16
Tmc3,1,0,0,0,0,0,1,1
Stard5,76,30,22,33,48,22,48,27
Il16,376,238,209,129,202,172,169,123
RGD1310371,22,6,9,3,16,9,11,4
Mesdc1,104,52,40,25,41,32,60,29
Mesdc2,1463,826,776,543,856,504,844,626
Fam108c1,158,78,70,49,85,47,101,54
Arnt2,36,16,18,5,37,24,36,9
Fah,136,95,49,47,43,56,91,43
Zfand6,4314,2215,2379,1326,2829,1492,3002,1946
Magea4,0,0,0,0,0,0,0,0
Gabre,3,9,3,4,3,4,1,4
Gabra3,0,0,0,0,1,0,0,0
Mir105,0,0,0,0,0,0,0,0
Gabrq,0,0,0,0,0,0,0,0
Nsdhl,547,335,331,154,414,188,312,275
Pnma5,0,0,0,0,0,0,0,0
Pnma3,0,0,0,0,0,0,0,0
LOC689600,0,0,0,0,0,0,0,0
RGD1564599,0,0,0,0,0,0,0,0
Fmr1,905,678,612,313,740,411,700,472
Mir547,0,0,0,0,0,0,0,0
Mir201,0,0,0,0,0,0,0,0
Mir3585,0,0,0,0,0,0,0,0
Dkc1,521,279,231,192,329,121,213,258
Olr1768,0,0,0,0,1,0,0,0
Ikbkg,245,128,122,67,152,81,121,106
G6pd,515,311,295,173,331,194,268,207
Fam3a,571,393,302,186,403,192,339,265
Slc10a3,370,259,173,125,331,158,222,154
Ubl4a,7549,4675,4145,2406,5111,2493,4203,3271
Lage3,846,555,468,266,609,324,627,447
Plxna3,24,23,31,20,24,12,27,15
Fam50a,2,3,2,0,1,1,0,1
Gdi1,4425,2670,2271,1404,2862,1266,2546,1815
Atp6ap1,5342,3038,2935,1710,3033,1688,3017,2171
Taz,3019,1895,1678,1011,2187,1000,1906,1414
Dnase1l1,2771,2096,1887,928,2051,1153,2315,1506
Rpl10,2927,1807,1878,923,1853,1144,2239,1432
Emd,597,445,370,210,400,217,464,297
Flna,1317,769,513,461,791,369,582,445
Tktl1,1,0,0,0,0,0,0,0
Tex28,0,0,0,0,0,0,0,0
Opn1mw,0,0,0,0,0,0,0,0
Mecp2,37,28,25,10,28,14,28,20
Irak1,516,335,242,155,310,161,290,218
Hcfc1,239,128,80,63,108,49,102,78
Renbp,174,130,77,49,99,61,86,94
Naa10,448,308,264,178,311,145,309,265
Arhgap4,84,26,19,14,20,16,13,20
Avpr2,0,0,1,0,0,0,0,0
L1cam,11,16,9,5,12,9,8,8
Pdzd4,13,6,7,7,6,5,4,5
Ssr4,1929,1158,1097,610,1192,672,1408,1054
Idh3g,15162,8984,8960,4631,9906,5626,9661,7366
Srpk3,2223,1805,1295,981,1729,796,1480,1180
Plxnb3,32,23,18,12,27,13,16,23
Abcd1,541,316,218,196,314,109,247,247
Bcap31,2911,1851,1732,929,1877,1184,2271,1528
Slc6a8,1651,1134,967,637,1095,607,1161,859
Pnck,20,6,18,9,10,8,24,20
Dusp9,1,0,0,1,0,0,0,0
Atp2b3,271,164,120,58,106,45,59,109
Bgn,2770,1588,1162,1087,919,1141,1379,913
Haus7,281,229,144,114,209,88,197,149
Trex2,0,0,0,0,0,0,0,0
Zfp275,141,59,60,53,90,35,70,45
F8a1,610,192,225,156,391,134,235,238
Cyp2c7,0,0,0,0,0,0,0,0
Cyp2c6v1,0,0,0,0,0,0,0,0
LOC652956,143,59,73,41,98,42,69,58
Olr226,0,0,0,0,0,0,0,0
Olr227,0,0,0,0,0,0,0,0
Vom2r41,0,0,0,0,0,0,0,0
Vom2r40,0,0,0,0,0,0,0,0
Vom2r42,0,0,0,0,0,0,0,0
Vom2r43,0,0,0,0,0,0,0,0
Olr12,0,0,0,0,0,0,0,0
Olr13,0,0,0,0,0,0,0,0
Olr14,0,0,0,0,0,0,0,0
Olr16,0,0,0,0,0,0,0,0
Olr17,0,0,0,0,0,0,0,0
Olr19,0,0,0,0,0,0,0,0
Olr20,0,0,0,0,0,0,0,0
Olr23,0,0,0,0,0,0,0,0
Olr24,0,0,0,0,0,0,0,0
Olr25,0,0,0,0,0,0,0,0
Olr27,0,0,0,0,0,0,0,0
Olr29,0,0,0,0,0,0,0,0
Olr30,0,0,0,0,0,0,0,0
Olr32,0,0,0,0,0,0,0,0
Olr34,0,0,0,0,0,0,0,0
Folh1,0,1,0,0,0,0,7,0
Nox4,61,37,29,23,33,36,31,18
Tyr,0,0,0,0,0,0,0,0
Grm5,0,0,0,0,0,0,0,0
Ctsc,3777,2579,2164,1193,2402,1655,2661,1978
Rab38,51,26,28,18,31,26,28,24
Tmem135,1129,663,639,293,682,371,534,520
Fzd4,1342,892,764,530,1124,583,850,724
Prss23,4620,2987,2132,1673,2558,1362,2782,1748
Me3,2694,2153,1758,971,2221,1261,1863,1685
Ccdc81,25,13,11,2,13,18,13,8
l7Rn6,3334,2050,1842,1089,1954,1186,2252,1921
Eed,1030,637,648,331,767,364,787,479
Picalm,533,368,277,163,384,210,369,230
Ccdc89,0,0,0,0,0,0,0,0
Dlg2,6,1,4,4,4,2,2,3
Tmem126b,1522,1033,1002,474,1108,674,1192,820
Tmem126a,3116,1819,1876,864,2086,1279,2135,1505
Crebzf,480,303,281,160,343,194,285,207
Ccdc90b,1223,790,799,433,902,498,965,636
Ankrd42,88,40,38,31,60,35,39,45
Rab30,223,141,106,66,127,76,154,73
RGD1559690,16,7,14,6,11,6,7,5
Prcp,160,92,62,49,93,81,92,64
Fam181b,4,2,2,1,2,0,0,1
Odz4,10,5,7,3,7,4,2,6
Nars2,427,235,242,144,276,119,189,196
Gab2,112,57,46,31,62,21,45,61
Kctd21,61,38,17,12,34,11,15,14
Alg8,131,74,64,45,73,68,105,77
Ndufc2,6879,4245,4249,2310,4910,2694,5596,3787
Thrsp,1278,833,961,142,622,442,672,527
Ints4,949,666,578,330,682,375,619,460
Aamdc,304,211,208,110,203,126,249,181
Clns1a,2164,1530,1344,832,1512,850,1664,1147
Aqp11,9,6,8,6,9,5,13,3
Pak1,406,313,262,246,208,154,414,206
Myo7a,21,15,5,10,5,3,12,9
Capn5,28,19,14,8,21,15,9,13
Omp,0,0,0,0,0,0,0,0
B3gnt6,0,0,0,0,0,0,0,0
Tsku,73,26,23,19,41,28,30,35
Gucy2d,1,0,0,0,0,1,0,0
Lrrc32,271,194,96,96,148,52,136,148
Prkrir,1662,1083,843,429,1126,695,1095,768
Wnt11,106,51,38,22,58,34,35,38
RGD1561870,0,0,0,0,0,2,0,0
Uvrag,157,103,72,49,101,49,72,56
Dgat2,1970,644,773,356,928,433,428,556
Mogat2,130,46,46,32,64,33,57,60
Map6,60,43,20,13,19,22,23,42
Serpinh1,2574,1442,1058,899,1188,739,847,1136
Rps3,4205,2448,2162,1410,2606,1530,2772,2085
Arrb1,23,13,23,13,12,11,11,11
Mir326,0,0,0,0,0,1,0,0
Slco2b1,384,234,165,108,215,148,198,197
Olr35,1,3,2,3,2,6,5,1
Olr36,0,0,0,0,0,0,0,0
Olr37,0,0,0,0,0,0,0,0
Neu3,639,625,487,330,551,271,505,310
Spcs2,4989,3418,3036,1910,3222,1773,3986,2487
Chrdl2,180,131,115,91,139,77,136,97
Pold3,241,151,136,81,155,93,146,109
Lipt2,153,89,106,48,122,80,107,77
Kcne3,36,19,18,11,21,9,20,7
Pgm2l1,1483,978,741,294,825,458,799,663
P4ha3,52,22,16,14,11,13,29,11
Ppme1,1674,992,787,491,1063,454,782,779
C2cd3,139,85,67,54,80,38,59,55
Ucp3,8372,2595,3417,1290,2757,1838,1304,3365
Ucp2,959,337,439,353,584,300,576,318
Dnajb13,22,11,8,7,5,1,15,6
Coa4,455,284,274,147,328,170,305,225
Mrpl48,2900,1706,1783,1031,2180,1111,2290,1523
Rab6a,5366,1836,2311,1440,3131,1141,2360,2434
Plekhb1,872,652,504,211,397,179,661,381
Fam168a,222,127,98,72,145,77,144,89
Relt,585,550,202,117,253,89,207,246
P2ry6,80,35,19,12,40,16,28,27
P2ry2,1576,1163,823,550,1050,399,769,744
Fchsd2,250,119,102,52,135,79,99,70
Olr51,0,0,0,0,0,0,0,0
Atg16l2,82,50,29,20,48,22,33,26
Stard10,397,213,226,118,270,90,201,125
Pde2a,560,354,311,169,359,167,192,244
Mir139,0,0,0,0,0,0,0,0
Art2,10,2,5,2,1,0,1,0
Clpb,1996,1180,987,609,1275,507,928,913
Phox2a,1,1,0,0,0,0,0,0
Inppl1,312,206,196,139,237,82,160,184
Folr2,352,130,72,54,132,78,142,104
Folr1,146,44,52,31,55,48,24,29
Anapc15,492,251,269,157,361,150,308,201
Lrtomt,7,6,5,3,1,1,3,2
Lamtor1,2151,1341,1330,776,1546,736,1373,1117
Lrrc51,44,19,17,11,22,11,12,19
Numa1,1274,725,551,413,692,275,542,521
Il18bp,224,122,156,179,143,56,182,165
Rnf121,626,471,341,198,362,197,372,300
Art5,3779,2184,2204,1064,2405,1173,2091,1586
Art1,8877,5822,5559,3281,6658,3471,4878,5166
Chrna10,1,0,0,1,2,4,1,2
Nup98,1330,850,813,429,892,482,881,685
Pgap2,414,253,223,130,224,116,213,186
Rhog,562,311,298,175,373,215,307,273
Stim1,3678,2257,1894,1332,2302,1075,2071,1696
Rrm1,1953,1311,1163,607,1225,638,1297,985
Olr39,0,0,1,0,0,0,0,0
Olr40,0,0,0,0,0,0,0,0
Olr41,0,0,0,0,0,0,0,0
Trim21,125,92,59,48,62,37,50,45
Olr43,0,0,0,0,0,0,0,0
Olr44,0,0,0,0,0,0,0,0
Olr45,0,0,0,0,0,0,0,0
Olr46,0,0,0,0,0,0,0,0
Olr47,0,0,0,0,0,0,0,0
Olr48,0,0,0,0,0,0,0,0
Olr63,100,54,47,36,91,33,68,44
